name, geometry, date (mm/dd/yr), short wavelength displacement, source file
Series 10, POINT(-118.80732102477252 34.01706934711741), 07/19/2016, 0.0045509338, OPERA_L3_DISP-S1_IW_F16940_VV_20160707T014949Z_20160719T014949Z_v1.0_20250408T164134Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 07/31/2016, -0.0038619041, OPERA_L3_DISP-S1_IW_F16940_VV_20160707T014949Z_20160731T014950Z_v1.0_20250408T164134Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 08/12/2016, 0.0001916885, OPERA_L3_DISP-S1_IW_F16940_VV_20160707T014949Z_20160812T014950Z_v1.0_20250408T164134Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 08/24/2016, 0.0031285286, OPERA_L3_DISP-S1_IW_F16940_VV_20160707T014949Z_20160824T014951Z_v1.0_20250408T164134Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 09/05/2016, -0.0022497177, OPERA_L3_DISP-S1_IW_F16940_VV_20160707T014949Z_20160905T014951Z_v1.0_20250408T164134Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 09/29/2016, -0.0014150143, OPERA_L3_DISP-S1_IW_F16940_VV_20160707T014949Z_20160929T014952Z_v1.0_20250408T164134Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 10/11/2016, -0.0019261837, OPERA_L3_DISP-S1_IW_F16940_VV_20160707T014949Z_20161011T014952Z_v1.0_20250408T164134Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 10/23/2016, -0.001601696, OPERA_L3_DISP-S1_IW_F16940_VV_20160707T014949Z_20161023T014952Z_v1.0_20250408T164134Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 11/04/2016, 0.002509594, OPERA_L3_DISP-S1_IW_F16940_VV_20160707T014949Z_20161104T014952Z_v1.0_20250408T164134Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 11/16/2016, 0.0038275719, OPERA_L3_DISP-S1_IW_F16940_VV_20160707T014949Z_20161116T014952Z_v1.0_20250408T164134Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 11/28/2016, 0.0011117458, OPERA_L3_DISP-S1_IW_F16940_VV_20160707T014949Z_20161128T014952Z_v1.0_20250408T164134Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 12/10/2016, -0.0034022331, OPERA_L3_DISP-S1_IW_F16940_VV_20160707T014949Z_20161210T014951Z_v1.0_20250408T164134Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 12/16/2016, -0.0098285675, OPERA_L3_DISP-S1_IW_F16940_VV_20160707T014949Z_20161216T014909Z_v1.0_20250408T164134Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 12/22/2016, 0.0012996197, OPERA_L3_DISP-S1_IW_F16940_VV_20160707T014949Z_20161222T014951Z_v1.0_20250408T164134Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 01/03/2017, 0.000988245, OPERA_L3_DISP-S1_IW_F16940_VV_20161222T014951Z_20170103T014949Z_v1.0_20250409T000731Z.nc
